127.0.0.1 - - [06/Nov/2016:00:03:06 -0400] "GET /SearchEngine/search?query=BHArat HTTP/1.1" 200 555
127.0.0.1 - - [06/Nov/2016:00:03:13 -0400] "GET /SearchEngine/search?query=bharat HTTP/1.1" 200 555
127.0.0.1 - - [06/Nov/2016:00:03:18 -0400] "GET /SearchEngine/search?query=BHARAT HTTP/1.1" 200 555
127.0.0.1 - - [06/Nov/2016:12:58:20 -0500] "GET /SearchEngine HTTP/1.1" 302 -
127.0.0.1 - - [06/Nov/2016:12:58:20 -0500] "GET /SearchEngine/ HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2016:12:58:22 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:58:23 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:58:23 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:58:23 -0500] "GET /SearchEngine/search?query=bharat HTTP/1.1" 200 53698
127.0.0.1 - - [06/Nov/2016:12:58:23 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:58:38 -0500] "GET /SearchEngine/search?query=bharat+dunsmore HTTP/1.1" 200 30438
127.0.0.1 - - [06/Nov/2016:12:58:38 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:58:49 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:58:49 -0500] "GET /SearchEngine/search?query=frederickson HTTP/1.1" 200 46239
127.0.0.1 - - [06/Nov/2016:12:59:00 -0500] "GET /SearchEngine/search?query=frederickson+comer HTTP/1.1" 200 26403
127.0.0.1 - - [06/Nov/2016:12:59:00 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:59:00 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:59:04 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:12:59:04 -0500] "GET /SearchEngine/search?query=comer HTTP/1.1" 200 49403
127.0.0.1 - - [06/Nov/2016:12:59:05 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:29 -0500] "GET /SearchEngine/search?query=dunsmore HTTP/1.1" 200 58586
127.0.0.1 - - [06/Nov/2016:17:35:29 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:29 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:36 -0500] "GET /SearchEngine/search?query=buster+dunsmore HTTP/1.1" 200 49693
127.0.0.1 - - [06/Nov/2016:17:35:36 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:51 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:51 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:51 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:51 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:51 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:52 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:52 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:52 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:52 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:53 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:53 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:53 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:53 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:54 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:54 -0500] "GET /SearchEngine/search?query=algorithms HTTP/1.1" 200 285288
127.0.0.1 - - [06/Nov/2016:17:35:54 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:59 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:35:59 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:36:00 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:36:00 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:36:00 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:36:01 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:36:01 -0500] "GET /SearchEngine/search?query=algorithms+course HTTP/1.1" 200 155926
127.0.0.1 - - [06/Nov/2016:17:36:01 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:36:11 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
127.0.0.1 - - [06/Nov/2016:17:36:12 -0500] "GET /SearchEngine/null HTTP/1.1" 404 985
